address,zipcode,price,sqft,bedroom,bathroom,latitude,longitude,Property Type
"1 Metropolitan Oval UNIT 3G, Bronx, NY 10462",10462,195000,691,1,1.0,40.83984,-73.86165,condo
"2428 Young Avenue, Bronx, NY 10469",10469,705000,2035,4,3.0,40.86195,-73.847946,multi-family
"1424 Allerton Avenue, Bronx, NY 10469",10469,740000,2310,3,3.0,40.86496,-73.84515,single-family home
"4445 Post Road UNIT 5H, Bronx, NY 10471",10471,175000,500,0,1.0,40.89216,-73.89829,coop
"255 Fieldston Terrace UNIT 7A, Bronx, NY 10471",10471,195000,700,1,1.0,40.8962,-73.898705,coop
"463 E 178th Street UNIT 2F, Bronx, NY 10457",10457,70000,820,1,1.0,40.84856,-73.89751,coop
"126 E  237th St, Bronx, NY 10470",10470,618000,1938,2,1.0,40.898293,-73.87166,apartment
"1410 Metropolitan Ave #7H, Bronx, NY 10462",10462,160000,613,1,1.0,40.83611,-73.85893,condo
"1906 Radcliff Avenue, Bronx, NY 10462",10462,690000,1300,4,3.0,40.850002,-73.858536,single-family home
"3207 Bruner Avenue, Bronx, NY 10469",10469,830000,2585,6,3.0,40.8749,-73.839584,multi-family
"4326 De Reimer Avenue, Bronx, NY 10466",10466,490000,1248,3,3.0,40.89773,-73.844215,multi-family
"1427 Crosby Ave, Bronx, NY 10461",10461,730000,2000,5,3.0,40.841305,-73.830154,multi-family
"36-25 Union Street UNIT 8C, Flushing, NY 11354",11354,770000,836,2,2.0,40.763294,-73.82752,condo
"35-19 156 Street, Flushing, NY 11354",11354,845000,2120,7,4.0,40.76521,-73.80869,single-family home
"115 N High Street, Mount Vernon, NY 10550",10550,675000,3050,7,3.0,40.913933,-73.845116,multi-family
"237 Claremont Avenue, Mount Vernon, NY 10552",10552,750000,2837,6,4.0,40.919567,-73.827805,single-family home
"192 Sedgwick Avenue, Yonkers, NY 10705",10705,575000,1532,3,2.0,40.9134,-73.88122,multi-family
"310 Lee Avenue, Yonkers, NY 10705",10705,650000,2463,4,3.0,40.91727,-73.8773,single-family home
"139-87 35 Avenue UNIT 4A, Flushing, NY 11354",11354,660000,970,2,2.0,40.765945,-73.82454,condo
"147-14 18th Ave, Whitestone, NY 11357",11357,999000,1118,3,3.0,40.782825,-73.81828,single-family home
"5-15 123 Street, College Pt, NY 11356",11356,1270000,1900,5,4.0,40.79212,-73.84424,multi-family
"54 Adams Street, Mount Vernon, NY 10550",10550,500000,1600,3,2.0,40.909466,-73.8295,single-family home
"16 Teresa Avenue, Yonkers, NY 10704",10704,700000,1473,3,3.0,40.9218,-73.86941,single-family home
"9 Aqueduct Avenue, Yonkers, NY 10704",10704,995000,3080,5,3.0,40.904915,-73.872986,multi-family
"62 Glover Avenue, Yonkers, NY 10704",10704,600000,1408,3,2.0,40.905605,-73.86501,single-family home
"9 Bonnett Avenue, Larchmont, NY 10538",10538,2911000,3897,5,4.0,40.9312,-73.750725,single-family home
"31 Warren Street, New Rochelle, NY 10801",10801,585000,1500,3,3.0,40.90965,-73.788,single-family home
"405 E 63rd Street UNIT 6A, New York, NY 10065",10065,340000,450,0,1.0,40.76203,-73.95936,coop
"143-50 Barclay Ave UNIT 2E, Flushing, NY 11355",11355,315000,723,1,1.0,40.759384,-73.821754,coop
"60 Locust Avenue UNIT A415, New Rochelle, NY 10801",10801,159000,700,1,1.0,40.90834,-73.77738,coop
"209-54 33rd Avenue, Bayside, NY 11361",11361,910000,1610,3,2.0,40.770676,-73.77869,single-family home
"234-11 38th Drive, Little Neck, NY 11363",11363,1400000,2852,3,3.0,40.771217,-73.751625,single-family home
"555 Bronx River Road UNIT 2R, Yonkers, NY 10704",10704,122000,800,1,1.0,40.91902,-73.84818,coop
"43 Bronx River Road UNIT 3-L, Yonkers, NY 10704",10704,162000,765,1,1.0,40.90294,-73.860085,coop
"1300 Midland Avenue UNIT A74, Bronxville, NY 10708",10708,329999,1387,3,2.0,40.929173,-73.84728,coop
"12-32 Estates Lane UNIT 47 U, Bayside, NY 11360",11360,795000,1200,3,2.0,40.78777,-73.78726,condo
"1 Bay Club Drive UNIT 15-N, Bayside, NY 11360",11360,450000,800,1,1.0,40.77871,-73.78117,condo
"295 N Broadway UNIT 27, Yonkers, NY 10701",10701,320000,1800,3,3.0,40.923714,-73.89591,coop
"2 Bronxville Road UNIT 4G, Bronxville, NY 10708",10708,310000,1100,2,2.0,40.931477,-73.83888,coop
"1623 3rd Ave #33H, New York, NY 10128",10128,1199000,1162,1,2.0,40.782013,-73.95067,condo
"333 E  92nd St #1A, New York, NY 10128",10128,449000,570,1,2.0,40.7812,-73.9472,coop
"1165 Park Ave #6C, New York, NY 10128",10128,3250000,2700,3,3.0,40.78399,-73.95383,coop
"226 E  95th St #102, New York, NY 10128",10128,724999,700,1,2.0,40.78371,-73.9485,coop
"19 E  88th St   #5F, New York, NY 10128",10128,610000,650,0,1.0,40.7825,-73.9581,coop
"134 E  93rd St #6C, New York, NY 10128",10128,1350000,1100,2,2.0,40.78383,-73.95268,condo
"427 E  90th St   #1A, New York, NY 10128",10128,3995000,2756,3,3.0,40.779,-73.9459,condo
"23 E  92nd St, New York, NY 10128",10128,9800000,7275,6,8.0,40.78505,-73.956345,single-family home
"206 E  95th St #15B, New York, NY 10128",10128,1395000,1001,2,2.0,40.78409,-73.949394,condo
"65 E  96th St #1D, New York, NY 10128",10128,1295000,1265,2,2.0,40.78708,-73.95307,condo
"302 E  96th St #602, New York, NY 10128",10128,1480000,979,1,2.0,40.783775,-73.94671,condo
"1112 Park Ave #6-B, New York, NY 10128",10128,2500000,2500,3,3.0,40.782772,-73.95593,coop
"301 E  87th St   #22DE, New York, NY 10128",10128,2199000,1800,3,3.0,40.7786,-73.9508,coop
"333 E  91st St #25B, New York, NY 10128",10128,999999,1205,2,2.0,40.780277,-73.94728,apartment
"360 E  89th St #27B, New York, NY 10128",10128,4549000,2417,3,4.0,40.778732,-73.94838,condo
"1175 Park Ave #1C, New York, NY 10128",10128,4750000,2969,0,3.0,40.784237,-73.95364,coop
"162 E  91st St #4B, New York, NY 10128",10128,499000,650,1,1.0,40.782158,-73.952614,coop
"130 E  94th St #8DE, New York, NY 10128",10128,2550000,1165,4,2.0,40.78458,-73.9525,coop
"111 E  88th St #4A, New York, NY 10128",10128,2725000,1700,3,3.0,40.78126,-73.95515,condo
"360 E  88th St #2B, New York, NY 10128",10128,4250000,2456,3,4.0,40.77814,-73.94895,condo
"427 E  90th St   #2B, New York, NY 10128",10128,1699000,1147,2,2.0,40.779,-73.9459,condo
"4 E  88th St #3C, New York, NY 10128",10128,1195000,1100,2,2.0,40.782383,-73.95896,coop
"180 E  88th St   #20A, New York, NY 10128",10128,3360000,1415,2,3.0,40.78,-73.9535,condo
"180 E  88th St   #9B, New York, NY 10128",10128,4550000,2082,3,4.0,40.78,-73.9535,condo
"324 E  93rd St   #3, New York, NY 10128",10128,2295000,1646,3,3.0,40.78158,-73.947334,condo
"179 E  94th St   #A, New York, NY 10128",10128,3995000,6545,19,4.0,40.784294,-73.950645,townhouse
"427 E  90th St   #10, New York, NY 10128",10128,4750000,2317,3,3.0,40.779,-73.9459,condo
"959 1st Ave #25A, New York, NY 10022",10022,4250000,1959,3,3.0,40.755646,-73.965256,condo
"515 E  72nd St #39A, New York, NY 10021",10021,2495000,1410,2,2.0,40.766857,-73.952644,condo
"123 Washington St #30D, New York, NY 10006",10006,975000,667,1,1.0,40.70922,-74.013756,condo
"303 Mercer St #A304, New York, NY 10003",10003,2350000,1392,2,2.0,40.730656,-73.994026,coop
"421 Manhattan Ave #C-16, New York, NY 10026",10026,625000,589,2,1.0,40.806168,-73.95619,condo
"150 E  69th St   #16G, New York, NY 10065",10065,3775000,2468,4,4.0,40.7678,-73.9631,coop
"145 E  84th St   #11DEFG, New York, NY 10028",10028,4595000,3286,6,6.0,40.7783,-73.9561,coop
"150 W  79th St   #1CD, New York, NY 10024",10024,2000000,1250,2,2.0,40.782475,-73.97748,coop
"200 Rector Pl #16J, New York, NY 10280",10280,850000,597,1,1.0,40.708324,-74.01654,condo
